Year,Month,Block,Plot,ID,Quadrat,Treatment,Species,Coverage
2024,June,1,1,1-1,1,Soil Inversion,Androppogon virginicus,0
2024,June,1,1,1-1,1,Soil Inversion,Bare Ground,2
2024,June,1,1,1-1,1,Soil Inversion,Bidens alba,4
2024,June,1,1,1-1,1,Soil Inversion,Cynodon dactylon,4
2024,June,1,1,1-1,1,Soil Inversion,Cyperus spp.,2
2024,June,1,1,1-1,1,Soil Inversion,Erigeron canadensis,0
2024,June,1,1,1-1,1,Soil Inversion,Indigofera hirsuta,0
2024,June,1,1,1-1,1,Soil Inversion,Lactuca canadensis,0
2024,June,1,1,1-1,1,Soil Inversion,Oenethra laciniata,4
2024,June,1,1,1-1,1,Soil Inversion,Oxalis corniculata,0
,June,1,1,1-1,1,Soil Inversion,Paspalum notatum,9
2024,June,1,1,1-1,1,Soil Inversion,Paspalum setaceum,0
2024,June,1,1,1-1,1,Soil Inversion,Richardia spp.,0
2024,June,1,1,1-1,1,Soil Inversion,Sida rhombifolia,2
2024,June,1,1,1-1,2,Soil Inversion,Androppogon virginicus,0
2024,June,1,1,1-1,2,Soil Inversion,Bare Ground,0
2024,June,1,1,1-1,2,Soil Inversion,Bidens alba,5
2024,June,1,1,1-1,2,Soil Inversion,Cynodon dactylon,0
2024,June,1,1,1-1,2,Soil Inversion,Cyperus spp.,2
2024,June,1,1,1-1,2,Soil Inversion,Erigeron canadensis,0
2024,June,1,1,1-1,2,Soil Inversion,Indigofera hirsuta,0
2024,June,1,1,1-1,2,Soil Inversion,Lactuca canadensis,0
2024,June,1,1,1-1,2,Soil Inversion,Oenethra laciniata,0
2024,June,1,1,1-1,2,Soil Inversion,Oxalis corniculata,2
2024,June,1,1,1-1,2,Soil Inversion,Paspalum notatum,9
2024,June,1,1,1-1,2,Soil Inversion,Paspalum setaceum,0
2024,June,1,1,1-1,2,Soil Inversion,Richardia spp.,0
2024,June,1,1,1-1,3,Soil Inversion,Androppogon virginicus,0
2024,June,1,1,1-1,3,Soil Inversion,Bare Ground,0
2024,June,1,1,1-1,3,Soil Inversion,Cynodon dactylon,4
2024,June,1,1,1-1,3,Soil Inversion,Cyperus spp.,2
2024,June,1,1,1-1,3,Soil Inversion,Erigeron canadensis,0
2024,June,1,1,1-1,3,Soil Inversion,Indigofera hirsuta,0
2024,June,1,1,1-1,3,Soil Inversion,Lactuca canadensis,0
2024,June,1,1,1-1,3,Soil Inversion,Oenethra laciniata,5
2024,June,1,1,1-1,3,Soil Inversion,Oxalis corniculata,2
2024,June,1,1,1-1,3,Soil Inversion,Paspalum notatum,9
2024,June,1,1,1-1,3,Soil Inversion,Paspalum setaceum,0
2024,June,1,1,1-1,3,Soil Inversion,Richardia spp.,3
2024,June,1,1,1-1,4,Soil Inversion,Androppogon virginicus,0
2024,June,1,1,1-1,4,Soil Inversion,Bare Ground,2
2024,June,1,1,1-1,4,Soil Inversion,Cynodon dactylon,0
2024,June,1,1,1-1,4,Soil Inversion,Cyperus spp.,2
2024,June,1,1,1-1,4,Soil Inversion,Erigeron canadensis,0
2024,June,1,1,1-1,4,Soil Inversion,Indigofera hirsuta,0
2024,June,1,1,1-1,4,Soil Inversion,Lactuca canadensis,0
2024,June,1,1,1-1,4,Soil Inversion,Oenethra laciniata,5
2024,June,1,1,1-1,4,Soil Inversion,Oxalis corniculata,0
2024,June,1,1,1-1,4,Soil Inversion,Paspalum notatum,9
2024,June,1,1,1-1,4,Soil Inversion,Paspalum setaceum,0
2024,June,1,1,1-1,4,Soil Inversion,Richardia spp.,0
2024,June,1,1,1-1,5,Soil Inversion,Androppogon virginicus,0
2024,June,1,1,1-1,5,Soil Inversion,Bare Ground,0
2024,June,1,1,1-1,5,Soil Inversion,Cynodon dactylon,4
2024,June,1,1,1-1,5,Soil Inversion,Cyperus spp.,4
2024,June,1,1,1-1,5,Soil Inversion,Erigeron canadensis,2
2024,June,1,1,1-1,5,Soil Inversion,Indigofera hirsuta,1
2024,June,1,1,1-1,5,Soil Inversion,Lactuca canadensis,0
2024,June,1,1,1-1,5,Soil Inversion,Oenethra laciniata,5
2024,June,1,1,1-1,5,Soil Inversion,Oxalis corniculata,2
2024,June,1,1,1-1,5,Soil Inversion,Paspalum notatum,9
2024,June,1,1,1-1,5,Soil Inversion,Paspalum setaceum,0
2024,June,1,1,1-1,5,Soil Inversion,Richardia spp.,0
2024,June,1,1,1-1,6,Soil Inversion,Androppogon virginicus,0
2024,June,1,1,1-1,6,Soil Inversion,Bare Ground,0
2024,June,1,1,1-1,6,Soil Inversion,Bidens alba,4
2024,June,1,1,1-1,6,Soil Inversion,Cynodon dactylon,4
2024,June,1,1,1-1,6,Soil Inversion,Cyperus spp.,3
2024,June,1,1,1-1,6,Soil Inversion,Erigeron canadensis,0
2024,June,1,1,1-1,6,Soil Inversion,Indigofera hirsuta,3
2024,June,1,1,1-1,6,Soil Inversion,Lactuca canadensis,0
