Month,Block,Plot,Sample,Treatment,Ambrosia artemisiifolia,Bulbostylis spp.,Cyperus spp.,Dichondra spp.,Digitaria spp.,Erigeron canadensis,Gamochaeta spp.,Oldenlandia corymbosa,Lepidium virginicum,Linaria canadensis,Oenothera laciniata,Oxalis corniculata,Paspalum setaceum,Portulaca spp.,Richardia spp.,Rumex hastatulus,Geranium carolinianum,Trifolium repens,Triodanis perfoliata
Post-Treatment,1,1,1,Soil Inversion,0,18,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
Post-Treatment,1,1,2,Soil Inversion,0,12,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0
Post-Treatment,1,1,3,Soil Inversion,0,13,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
Post-Treatment,1,1,4,Soil Inversion,0,29,0,0,0,5,0,0,0,32,0,0,0,0,0,0,0,0,0
Post-Treatment,1,2,1,Control,3,20,5,1,0,0,2,1,5,1,15,5,3,16,4,13,6,0,3
Post-Treatment,1,2,2,Control,2,1,0,2,0,6,2,3,5,7,23,17,0,20,22,6,0,3,5
Post-Treatment,1,2,3,Control,3,22,0,2,0,20,1,1,3,34,16,8,0,9,25,3,0,0,0
Post-Treatment,1,2,4,Control,3,14,3,3,0,25,0,3,1,31,17,24,2,3,5,1,0,0,0
Post-Treatment,1,3,1,Soil Inversion,0,15,0,1,0,9,0,0,0,20,0,3,0,0,0,0,0,0,0
Post-Treatment,1,3,2,Soil Inversion,0,28,0,3,0,1,0,0,0,11,0,13,0,0,6,0,0,0,0
Post-Treatment,1,3,3,Soil Inversion,0,10,0,3,0,7,1,0,0,9,0,2,0,0,0,0,0,0,0
Post-Treatment,1,3,4,Soil Inversion,0,18,0,4,5,0,1,0,0,13,0,5,0,0,8,0,0,0,0
Post-Treatment,1,4,1,Control,2,0,9,4,22,6,1,4,3,7,9,7,1,23,8,0,0,3,0
Post-Treatment,1,4,2,Control,4,12,5,3,7,17,1,1,7,21,0,23,2,2,21,13,3,5,15
Post-Treatment,1,4,3,Control,0,6,16,3,4,5,0,3,1,24,24,16,0,22,13,0,0,4,12
Post-Treatment,1,4,4,Control,0,24,0,1,5,12,2,1,1,11,24,3,1,14,1,18,6,15,0
Post-Treatment,1,5,1,Preemergent,3,22,12,4,12,13,2,4,6,16,6,14,3,17,10,0,2,6,1
Post-Treatment,1,5,2,Preemergent,1,5,10,3,4,7,2,4,2,4,4,8,3,5,19,0,1,12,2
Post-Treatment,1,5,3,Preemergent,4,18,9,3,8,6,1,4,2,17,8,9,3,9,17,4,4,6,0
Post-Treatment,1,5,4,Preemergent,1,19,17,4,18,15,1,5,2,20,6,22,2,24,14,0,2,0,0
Post-Treatment,1,6,1,Fill Sand,0,5,4,0,3,5,2,1,1,14,13,6,0,0,8,0,0,0,0
