Time,Sample,Treatment,pH,P,K,Mg,Ca,S,Cu,Mn,Zn,B
Post,1-1,Soil Inversion,6.5,109,21,53,704,4.9,1.6,10,4.3,0.1
Post,1-2,Control,6.9,69,20,41,697,4.7,1.7,9.2,3.9,0
Post,1-3,Soil Inversion,6.2,99,21,85,420,6.4,1.5,13.9,4.7,0
Post,1-4,Control,6.4,82,13,31,480,4.2,1.9,7.6,4.2,0
Post,1-5,Preemergent,6.5,72,14,33,541,4.4,1.6,7.1,4.4,0
Post,1-6,Fill Sand,6.5,103,19,66,490,5.3,1.2,10,3.6,0
Post,1-7,Fill Sand,6.5,88,16,78,448,4.5,0.9,5.7,3.3,0
Post,1-8,Fill Sand,6.5,63,16,44,375,4.9,0.4,3.3,2,0
Post,1-9,Control,6.4,152,21,71,420,5.9,1.5,8.4,3.4,0
Post,1-10,Preemergent,6.7,83,12,45,696,5.2,1.7,7.2,3.5,0
Post,1-11,Soil Inversion,7.1,73,9,36,639,4.3,1.4,6.1,2.5,0
Post,1-12,Preemergent,6.6,105,14,43,517,5.3,1.6,7.9,2.7,0
Post,2-1,Soil Inversion,6.7,155,14,66,589,5.8,1.5,8.4,3.8,0
Post,2-2,Control,6.8,135,21,83,657,6,1.2,7.3,3.3,0
Post,2-3,Soil Inversion,6.8,129,23,83,673,5.7,1,5.6,2.4,0
Post,2-4,Preemergent,6.7,129,20,74,775,5.5,0.8,6,3.3,0
Post,2-5,Preemergent,6.8,113,19,104,683,7,1.3,9.4,4.5,0
Post,2-6,Fill Sand,6.5,97,14,71,598,4.8,1.4,4.7,2.2,0
Post,2-7,Control,6.7,122,19,65,570,5.5,0.8,5.8,3.1,0
Post,2-8,Fill Sand,6.5,174,23,50,614,5.8,1.8,7.8,2.9,0
Post,2-9,Control,6.7,68,18,50,677,5.3,1.1,10.7,3.7,0
Post,2-10,Fill Sand,6.4,161,21,39,487,8.7,0.6,6.4,2.6,0
Post,2-11,Soil Inversion,6.8,62,11,42,572,4.4,1.1,8.9,2.7,0
Post,2-12,Preemergent,6.5,112,29,86,585,6,1,11.2,3.5,0
Pre,1-1,Soil Inversion,6.6,117,13,63,683,5.1,0.8,8,3.6,0
Pre,1-2,Control,6.5,70,17,65,695,5.3,1.8,7,3.2,0
Pre,1-3,Soil Inversion,6.7,90,21,59,474,5.5,1.3,6.4,4.1,0
Pre,1-4,Control,6.5,120,16,41,680,6.1,1.5,9.8,4.5,0
Pre,1-5,Preemergent,6.5,94,16,72,500,7.3,1,7.4,2.7,0
Pre,1-6,Fill Sand,6.6,71,17,75,424,5.5,1.1,10.3,3.2,0
Pre,1-7,Fill Sand,6.7,84,19,64,542,6,0.8,14,4.1,0
Pre,1-8,Fill Sand,6.5,92,15,56,663,6,0.7,9,3.8,0
Pre,1-9,Control,6.6,89,18,61,501,5.8,0.9,9.5,2.5,0
Pre,1-10,Preemergent,6.4,120,21,49,621,5,1.1,9.8,2.7,0
Pre,1-11,Soil Inversion,6.8,82,18,53,667,6,1.4,6,3.1,0
Pre,1-12,Preemergent,6.5,122,16,54,522,7,1.7,7,4.1,0
Pre,2-1,Soil Inversion,6.6,130,12,63,460,5.1,0.5,7.5,3.1,0
Pre,2-2,Control,6.7,120,13,68,549,6.7,0.6,8.1,4,0
Pre,2-3,Soil Inversion,6.5,72,13,67,486,5.4,1,8.3,3.7,0
Pre,2-4,Preemergent,6.6,124,14,60,648,6.1,1.4,9.5,2.5,0
Pre,2-5,Preemergent,6.5,122,17,64,687,6.4,1.5,10,2.8,0
Pre,2-6,Fill Sand,6.6,127,16,73,535,5.9,1.3,11.2,2.4,0
Pre,2-7,Control,6.8,74,18,46,591,5.7,1,8.9,2.9,0
Pre,2-8,Fill Sand,6.5,105,14,66,488,6.5,0.9,7.8,3.1,0
Pre,2-9,Control,6.6,125,16,77,461,4.8,0.5,12.1,2.6,0
Pre,2-10,Fill Sand,6.7,96,18,74,440,6.7,0.6,11,2.7,0
Pre,2-11,Soil Inversion,6.5,93,19,44,560,5.5,1.1,10.8,2.8,0
Pre,2-12,Preemergent,6.8,85,17,46,466,6.9,1.4,10.3,2.5,0
