"","NMDS1","NMDS2","envfit_result$vectors$pvals"
"Bare Ground",-0.870919090126138,0.491426432392337,0.001
"Cynodon dactylon",-0.453539578247076,-0.891236136477569,0.003
"Cyperus spp.",0.848358997384878,-0.529421393179502,0.008
"Erigeron canadensis",-0.737361525383426,-0.675498320415549,0.001
"Gamochaeta spp.",-0.39601774024651,-0.918242859710898,0.1
"Geranium carolinianum",0.22188021374541,0.975073930914108,0.908
"Indigofera hirsuta",-0.478702879299172,0.87797696629848,0.093
"Lactuca spp.",0.786212578357017,0.617956132450526,0.022
"Lepidium virginicum",-0.406368210955162,-0.913709405185862,0.059
"Linaria canadensis",0.170596371176401,-0.985340995869675,0.176
"Oenothera laciniata",0.697778398558392,0.716313692808735,0.001
"Oxalis corniculata",0.868646207547202,0.49543290778254,0.033
"Paspalum notatum",-0.801947215985543,0.597394896842145,0.751
"Portulaca spp.",0.494166141056915,0.869367485608311,0.181
"Richardia spp.",0.695813493693064,0.718222515655595,0.001
"Rumex hastatulus",-0.167175009232091,-0.985927236812256,0.008
"Sida spp.",-0.285163978706036,0.958478745329568,0.476
"Sinapis arvensis",0.45885490490617,0.888511213347108,0.308
"Sonchus asper",0.520081162393614,-0.854116844772018,0.055
"Taraxacum officinale",0.997236600638444,0.0742910650555063,0.183
