"","NMDS1","NMDS2","envfit_result$vectors$pvals"
"Bare Ground",0.998960495278127,-0.0455843051244484,0.001
"Cynodon dactylon",0.318499549735348,-0.947923012073439,0.118
"Cyperus spp.",-0.597235803634499,0.802065704825393,0.001
"Erigeron canadensis",-0.315186755628041,0.94902966712146,0.002
"Gamochaeta spp.",-0.450387220461078,0.892833328032363,0.001
"Geranium carolinianum",0.608277052888066,0.793724780342537,0.721
"Indigofera hirsuta",-0.0781793708387627,0.996939309073153,0.035
"Lactuca spp.",0.88294288395103,0.469480418846449,0.704
"Lepidium virginicum",0.09347833127845,-0.995621314346673,0.852
"Linaria canadensis",-0.561783354754142,0.827284390231788,0.001
"Oenothera laciniata",-0.382868134560288,-0.923803004724668,0.001
"Oxalis corniculata",-0.0714905462615973,0.997441277366853,0.019
"Paspalum notatum",0.998419127796371,-0.0562071636923062,0.066
"Portulaca spp.",-0.70430625944998,0.709896255025745,0.014
"Richardia spp.",-0.981768769324907,0.19007915082475,0.001
"Rumex hastatulus",-0.874466934515234,-0.485085127003014,0.068
"Sinapis arvensis",-0.819775084451838,0.572685612628763,0.003
"Sonchus asper",-0.311462030332867,-0.950258598309391,0.141
"Triodanis perfoliata",-0.374069166755746,0.927400807894118,0.184
