"","Species","Contribution","SD","P_value","Cumulative_Contribution","Rank"
"Bare Ground","Bare Ground",0.142907162627669,0.134811463349093,0.04,0.365725796657093,1
"Oenothera laciniata","Oenothera laciniata",0.093330176915827,0.0769397261903111,0.04,0.980044686639691,2
"Richardia spp.","Richardia spp.",0.0478837207587911,0.0447638499150466,0.01,0.99970387005932,3
"Erigeron canadensis","Erigeron canadensis",0.0249097111051888,0.0249160464895477,0.01,0.790866762634001,4
"Cynodon dactylon","Cynodon dactylon",0.0190550520616934,0.0355376014328179,0.09,0.604574939534691,5
"Cyperus spp.","Cyperus spp.",0.0165677017423163,0.0132280991266306,0.01,0.727118215878659,6
"Paspalum notatum","Paspalum notatum",0.0092199136571089,0.0131935026590311,1,0.993345383211372,7
"Gamochaeta spp.","Gamochaeta spp.",0.00885030273387523,0.00941394280260728,0.05,0.839632156666503,8
"Rumex hastatulus","Rumex hastatulus",0.008474213794911,0.0214193906520828,0.07,0.999893463321774,9
"Linaria canadensis","Linaria canadensis",0.00653021734089906,0.0198887601361999,0.01,0.966676087849138,10
"Lepidium virginicum","Lepidium virginicum",0.00522377294390556,0.0144103095755676,0.01,0.949964056797436,11
"Sinapis arvensis","Sinapis arvensis",0.00274472814351602,0.0124260787931554,0.09,1,12
"Lactuca spp.","Lactuca spp.",0.00245251204409013,0.00814661118077484,1,0.928276980137316,13
"Indigofera hirsuta","Indigofera hirsuta",0.00204212775450743,0.00381211864387118,1,0.905627422491028,14
"Portulaca spp.","Portulaca spp.",0.00044244763599343,0.000997688916779265,0.01,0.998571564923752,15
"Sonchus asper","Sonchus asper",7.4083467555135e-05,0.000579672048374974,0.62,1,16
"Sida spp.","Sida spp.",4.16291509654717e-05,0.000321332401790192,0.19,1,17
"Geranium carolinianum","Geranium carolinianum",0,0,NA,0.882031962296068,18
"Oxalis corniculata","Oxalis corniculata",0,0,NA,0.987068952382829,19
"Taraxacum officinale","Taraxacum officinale",0,0,NA,1,20
