"","NMDS1","NMDS2","envfit_result$vectors$pvals"
"Bare Ground",-0.870919090125362,0.491426432393713,0.001
"Cynodon dactylon",-0.453539578247587,-0.891236136477309,0.005
"Cyperus spp.",0.84835899738252,-0.52942139318328,0.007
"Erigeron canadensis",-0.737361525383213,-0.675498320415781,0.001
"Gamochaeta spp.",-0.396017740246175,-0.918242859711042,0.093
"Geranium carolinianum",0.221880213743565,0.975073930914528,0.93
"Indigofera hirsuta",-0.478702879299263,0.87797696629843,0.095
"Lactuca spp.",0.78621257835706,0.617956132450471,0.021
"Lepidium virginicum",-0.406368210954216,-0.913709405186282,0.062
"Linaria canadensis",0.170596371175308,-0.985340995869865,0.172
"Oenothera laciniata",0.697778398558667,0.716313692808466,0.001
"Oxalis corniculata",0.868646207548,0.495432907781141,0.034
"Paspalum notatum",-0.8019472159602,0.597394896876166,0.761
"Paspalum setaceum",0,0,1
"Phyllanthus urinaria",0,0,1
"Portulaca spp.",0.49416614106007,0.869367485606518,0.192
"Richardia spp.",0.695813493695662,0.718222515653079,0.001
"Rumex hastatulus",-0.167175009231748,-0.985927236812314,0.003
"Sida spp.",-0.285163978705329,0.958478745329779,0.482
"Sinapis arvensis",0.458854904907326,0.888511213346511,0.331
"Sonchus asper",0.520081162393155,-0.854116844772297,0.058
"Taraxacum officinale",0.997236600638604,0.0742910650533573,0.2
