"","NMDS1","NMDS2","envfit_result$vectors$pvals"
"Bare Ground",0.99896049526713,-0.0455843053654497,0.001
"Cynodon dactylon",0.318499549703043,-0.947923012084293,0.129
"Cyperus spp.",-0.597235804056424,0.802065704511218,0.001
"Erigeron canadensis",-0.315186755704309,0.94902966709613,0.002
"Gamochaeta spp.",-0.450387220317944,0.892833328104566,0.001
"Geranium carolinianum",0.608277052947852,0.79372478029672,0.704
"Indigofera hirsuta",-0.0781793708094022,0.996939309075455,0.032
"Lactuca spp.",0.882942883683091,0.469480419350358,0.722
"Lepidium virginicum",0.0934783312990748,-0.995621314344736,0.856
"Linaria canadensis",-0.561783354791179,0.827284390206638,0.001
"Oenothera laciniata",-0.382868134645254,-0.923803004689454,0.001
"Oxalis corniculata",-0.0714905462134039,0.997441277370307,0.023
"Paspalum notatum",0.998419127730778,-0.0562071648574429,0.054
"Paspalum setaceum",0,0,1
"Phyllanthus urinaria",0,0,1
"Portulaca spp.",-0.704306259068626,0.709896255404096,0.006
"Richardia spp.",-0.981768769577614,0.190079149519501,0.001
"Rumex hastatulus",-0.87446693481747,-0.485085126458171,0.045
"Sinapis arvensis",-0.819775086561643,0.572685609608668,0.001
"Sonchus asper",-0.311462030787845,-0.950258598160265,0.166
"Triodanis perfoliata",-0.37406916564912,0.927400808340478,0.172
