"Block","Plot","Treatment","Species","Quadrats_Observed","Values_Observed"
1,1,"Soil Inversion","Bare Ground",10,10
1,1,"Soil Inversion","Cynodon dactylon",10,10
1,1,"Soil Inversion","Cyperus spp.",10,10
1,1,"Soil Inversion","Indigofera hirsuta",10,10
1,1,"Soil Inversion","Paspalum notatum",10,10
1,1,"Soil Inversion","Richardia spp.",10,10
1,2,"Control","Bare Ground",10,10
1,2,"Control","Cynodon dactylon",10,10
1,2,"Control","Cyperus spp.",10,10
1,2,"Control","Indigofera hirsuta",10,10
1,2,"Control","Paspalum notatum",10,10
1,2,"Control","Richardia spp.",10,10
1,3,"Soil Inversion","Bare Ground",10,10
1,3,"Soil Inversion","Cynodon dactylon",10,10
1,3,"Soil Inversion","Cyperus spp.",10,10
1,3,"Soil Inversion","Indigofera hirsuta",10,10
1,3,"Soil Inversion","Paspalum notatum",10,10
1,3,"Soil Inversion","Richardia spp.",10,10
1,4,"Control","Bare Ground",10,10
1,4,"Control","Cynodon dactylon",10,10
1,4,"Control","Cyperus spp.",10,10
1,4,"Control","Indigofera hirsuta",10,10
1,4,"Control","Oenothera laciniata",10,10
1,4,"Control","Oxalis corniculata",10,10
1,4,"Control","Paspalum notatum",10,10
1,4,"Control","Richardia spp.",10,10
1,5,"Preemergent","Bare Ground",10,10
1,5,"Preemergent","Cynodon dactylon",10,10
1,5,"Preemergent","Cyperus spp.",10,10
1,5,"Preemergent","Indigofera hirsuta",10,10
1,5,"Preemergent","Paspalum notatum",10,10
1,5,"Preemergent","Richardia spp.",10,10
1,6,"Fill Sand","Bare Ground",10,10
1,6,"Fill Sand","Cynodon dactylon",10,10
1,6,"Fill Sand","Cyperus spp.",10,10
1,6,"Fill Sand","Indigofera hirsuta",10,10
1,6,"Fill Sand","Paspalum notatum",10,10
1,6,"Fill Sand","Richardia spp.",10,10
1,7,"Fill Sand","Bare Ground",10,10
1,7,"Fill Sand","Cynodon dactylon",10,10
1,7,"Fill Sand","Cyperus spp.",10,10
1,7,"Fill Sand","Indigofera hirsuta",10,10
1,7,"Fill Sand","Paspalum notatum",10,10
1,7,"Fill Sand","Richardia spp.",10,10
1,8,"Fill Sand","Bare Ground",10,10
1,8,"Fill Sand","Cynodon dactylon",10,10
1,8,"Fill Sand","Cyperus spp.",10,10
1,8,"Fill Sand","Indigofera hirsuta",10,10
1,8,"Fill Sand","Paspalum notatum",10,10
1,8,"Fill Sand","Richardia spp.",10,10
1,9,"Control","Bare Ground",10,10
1,9,"Control","Cynodon dactylon",10,10
1,9,"Control","Cyperus spp.",10,10
1,9,"Control","Indigofera hirsuta",10,10
1,9,"Control","Paspalum notatum",10,10
1,9,"Control","Richardia spp.",10,10
1,10,"Preemergent","Bare Ground",10,10
1,10,"Preemergent","Cynodon dactylon",10,10
1,10,"Preemergent","Cyperus spp.",10,10
1,10,"Preemergent","Indigofera hirsuta",10,10
1,10,"Preemergent","Paspalum notatum",10,10
1,10,"Preemergent","Richardia spp.",10,10
1,11,"Soil Inversion","Bare Ground",10,10
1,11,"Soil Inversion","Cynodon dactylon",10,10
1,11,"Soil Inversion","Cyperus spp.",10,10
1,11,"Soil Inversion","Indigofera hirsuta",10,10
1,11,"Soil Inversion","Paspalum notatum",10,10
1,11,"Soil Inversion","Richardia spp.",10,10
1,12,"Preemergent","Bare Ground",10,10
1,12,"Preemergent","Cynodon dactylon",10,10
1,12,"Preemergent","Cyperus spp.",10,10
1,12,"Preemergent","Indigofera hirsuta",10,10
1,12,"Preemergent","Paspalum notatum",10,10
1,12,"Preemergent","Richardia spp.",10,10
2,1,"Soil Inversion","Bare Ground",10,10
2,1,"Soil Inversion","Cynodon dactylon",10,10
2,1,"Soil Inversion","Cyperus spp.",10,10
2,1,"Soil Inversion","Indigofera hirsuta",10,10
2,1,"Soil Inversion","Paspalum notatum",10,10
2,1,"Soil Inversion","Richardia spp.",10,10
2,2,"Control","Bare Ground",10,10
2,2,"Control","Cynodon dactylon",10,10
2,2,"Control","Cyperus spp.",10,10
2,2,"Control","Indigofera hirsuta",10,10
2,2,"Control","Oenothera laciniata",10,10
2,2,"Control","Paspalum notatum",10,10
2,2,"Control","Richardia spp.",10,10
2,3,"Soil Inversion","Bare Ground",10,10
2,3,"Soil Inversion","Cynodon dactylon",10,10
2,3,"Soil Inversion","Cyperus spp.",10,10
2,3,"Soil Inversion","Indigofera hirsuta",10,10
2,3,"Soil Inversion","Oenothera laciniata",10,10
2,3,"Soil Inversion","Paspalum notatum",10,10
2,3,"Soil Inversion","Richardia spp.",10,10
2,4,"Preemergent","Bare Ground",10,10
2,4,"Preemergent","Cynodon dactylon",10,10
2,4,"Preemergent","Cyperus spp.",10,10
2,4,"Preemergent","Indigofera hirsuta",10,10
2,4,"Preemergent","Paspalum notatum",10,10
2,4,"Preemergent","Richardia spp.",10,10
2,5,"Preemergent","Bare Ground",10,10
2,5,"Preemergent","Cynodon dactylon",10,10
2,5,"Preemergent","Cyperus spp.",10,10
2,5,"Preemergent","Indigofera hirsuta",10,10
2,5,"Preemergent","Paspalum notatum",10,10
2,5,"Preemergent","Richardia spp.",10,10
2,6,"Fill Sand","Bare Ground",10,10
2,6,"Fill Sand","Cynodon dactylon",10,10
2,6,"Fill Sand","Cyperus spp.",10,10
2,6,"Fill Sand","Indigofera hirsuta",10,10
2,6,"Fill Sand","Paspalum notatum",10,10
2,6,"Fill Sand","Richardia spp.",10,10
2,7,"Control","Bare Ground",10,10
2,7,"Control","Cynodon dactylon",10,10
2,7,"Control","Cyperus spp.",10,10
2,7,"Control","Indigofera hirsuta",10,10
2,7,"Control","Paspalum notatum",10,10
2,7,"Control","Richardia spp.",10,10
2,8,"Fill Sand","Bare Ground",10,10
2,8,"Fill Sand","Cynodon dactylon",10,10
2,8,"Fill Sand","Cyperus spp.",10,10
2,8,"Fill Sand","Indigofera hirsuta",10,10
2,8,"Fill Sand","Paspalum notatum",10,10
2,8,"Fill Sand","Richardia spp.",10,10
2,9,"Control","Bare Ground",10,10
2,9,"Control","Cynodon dactylon",10,10
2,9,"Control","Cyperus spp.",10,10
2,9,"Control","Indigofera hirsuta",10,10
2,9,"Control","Paspalum notatum",10,10
2,9,"Control","Richardia spp.",10,10
2,10,"Fill Sand","Bare Ground",10,10
2,10,"Fill Sand","Cynodon dactylon",10,10
2,10,"Fill Sand","Cyperus spp.",10,10
2,10,"Fill Sand","Indigofera hirsuta",10,10
2,10,"Fill Sand","Paspalum notatum",10,10
2,10,"Fill Sand","Richardia spp.",10,10
2,11,"Soil Inversion","Bare Ground",10,10
2,11,"Soil Inversion","Cynodon dactylon",10,10
2,11,"Soil Inversion","Cyperus spp.",10,10
2,11,"Soil Inversion","Indigofera hirsuta",10,10
2,11,"Soil Inversion","Paspalum notatum",10,10
2,11,"Soil Inversion","Richardia spp.",10,10
2,12,"Preemergent","Bare Ground",10,10
2,12,"Preemergent","Cynodon dactylon",10,10
2,12,"Preemergent","Cyperus spp.",10,10
2,12,"Preemergent","Indigofera hirsuta",10,10
2,12,"Preemergent","Paspalum notatum",10,10
2,12,"Preemergent","Richardia spp.",10,10
