"Month","Block","Plot","Treatment","Ambrosia.artemisiifolia","Bulbostylis.spp.","Cyperus.spp.","Dichondra.spp.","Digitaria.spp.","Erigeron.canadensis","Gamochaeta.spp.","Oldenlandia.corymbosa","Lepidium.virginicum","Linaria.canadensis","Oenothera.laciniata","Oxalis.corniculata","Paspalum.setaceum","Portulaca.spp.","Richardia.spp.","Rumex.hastatulus","Geranium.carolinianum","Trifolium.repens","Triodanis.perfoliata","Number_of_Samples","Plot_ID","Unique_ID"
"Pre-Treatment",1,1,"Soil Inversion",0,15.75,4,2,8.75,8,1,3,2.25,11.5,18.25,6.5,3,7.5,9.75,0.75,0,2,0,4,"1.1","Pre-Treatment-1-1"
"Pre-Treatment",1,2,"Control",4.75,22.5,5.75,2.5,0.75,11,0.5,3.5,1,17.5,6,18.75,2.5,9.25,16.75,3,2.5,1.25,1.75,4,"1.2","Pre-Treatment-1-2"
"Pre-Treatment",1,3,"Soil Inversion",2,19.75,11.5,2.75,8.5,20.75,1.5,1.5,4.75,15,14.75,14.25,1.75,12,12,9,0,2,4,4,"1.3","Pre-Treatment-1-3"
"Pre-Treatment",1,4,"Control",3,6.5,13,2.25,12.75,12.5,1.25,2.25,3.75,20,18,16,1.25,14.75,15.25,0.75,0.5,1.25,6.5,4,"1.4","Pre-Treatment-1-4"
"Pre-Treatment",1,5,"Preemergent",3.25,12.25,13,2.5,2.25,7.5,0.25,4,1.75,14.25,18.25,7.5,1.5,11.25,11.5,9.25,1,1.25,5.25,4,"1.5","Pre-Treatment-1-5"
"Pre-Treatment",1,6,"Fill Sand",4,19.5,11,1.75,4.5,14,1,2,3.25,19.25,5.25,15.25,2.75,8,15,6.75,5,1.5,10.75,4,"1.6","Pre-Treatment-1-6"
"Pre-Treatment",1,7,"Fill Sand",2,10.25,8,2.75,10.25,14.5,1.75,3,3,25.25,10,18.25,2,11.5,15.5,5,0,0.75,8,4,"1.7","Pre-Treatment-1-7"
"Pre-Treatment",1,8,"Fill Sand",3,14.5,16.5,3.5,10.5,11,1,3.5,4.75,10.75,17.75,11.75,2,10.25,3.25,9.75,0,1.25,2.25,4,"1.8","Pre-Treatment-1-8"
"Pre-Treatment",1,9,"Control",4,18.75,15.5,3,0.5,10.75,1.25,2.5,4.25,7,15.5,13.25,1,4.5,1.75,7.5,0.5,0,3,4,"1.9","Pre-Treatment-1-9"
"Pre-Treatment",1,10,"Preemergent",5,14,9.5,3,4,9.25,1,3.25,4,17.25,9.5,12.5,1.25,7,6.75,5.25,2,4.5,2.25,4,"1.10","Pre-Treatment-1-10"
"Pre-Treatment",1,11,"Soil Inversion",2,16.75,13.25,2,14,10.75,1.25,2.25,2,21.75,4.25,14.25,2.5,11.5,13.5,9.75,2,2.75,0.25,4,"1.11","Pre-Treatment-1-11"
"Pre-Treatment",1,12,"Preemergent",4,8.75,18.5,1,11.75,15.75,1.25,1.5,2.5,18.25,10.5,15.75,2.75,18.5,17.25,2.25,1.5,0,4.5,4,"1.12","Pre-Treatment-1-12"
"Pre-Treatment",2,1,"Soil Inversion",3.75,20.75,13,1.25,18.5,8.5,1,3,2.5,32.5,17.5,17.75,2.75,10.5,18,5.75,0,2.5,6,4,"2.1","Pre-Treatment-2-1"
"Pre-Treatment",2,2,"Control",0,15.75,5.25,2.5,15.25,6.25,1.25,2.75,6,11.25,18.75,5.75,2.25,14.25,15,15,0.75,3.25,6,4,"2.2","Pre-Treatment-2-2"
"Pre-Treatment",2,3,"Soil Inversion",4,12,12.75,3.75,11,14.25,0.75,2.25,3.75,15.5,7.75,9.25,2,8.75,10.5,8.25,5,5,1.75,4,"2.3","Pre-Treatment-2-3"
"Pre-Treatment",2,4,"Preemergent",2,13.75,13.75,2.75,4.75,9,1.25,3,1.75,16.5,5.5,14.5,2,5.75,17.25,8.5,3,0,4.5,4,"2.4","Pre-Treatment-2-4"
