"Property","Treatment","Time","emmean","SE","df","lower.CL","upper.CL",".group"
"pH","Fill Sand","Post",6.48333333333333,0.0648249890264487,38.9743589743589,6.29648626314144,6.67018040352522,"a"
"pH","Preemergent","Pre",6.55,0.0648249890264487,38.974358974359,6.36315292980811,6.73684707019189,"a"
"pH","Fill Sand","Pre",6.6,0.0648249890264487,38.974358974359,6.41315292980811,6.78684707019189,"a"
"pH","Soil Inversion","Pre",6.61666666666667,0.0648249890264487,38.974358974359,6.42981959647478,6.80351373685856,"a"
"pH","Control","Pre",6.61666666666669,0.0648249890264487,38.9743589743586,6.4298195964748,6.80351373685858,"a"
"pH","Preemergent","Post",6.63333333333333,0.0648249890264487,38.974358974359,6.44648626314144,6.82018040352522,"a"
"pH","Control","Post",6.65,0.0648249890264487,38.9743589743589,6.46315292980811,6.83684707019189,"a"
"pH","Soil Inversion","Post",6.68333333333333,0.0648249890264487,38.9743589743591,6.49648626314144,6.87018040352522,"a"
"P","Fill Sand","Pre",95.8333333333333,11.0010731663507,38.8550843204481,64.1190819148541,127.547584751813,"a"
"P","Soil Inversion","Pre",97.3333333333333,11.0010731663507,38.8550843204481,65.6190819148541,129.047584751813,"a"
"P","Control","Pre",99.6666666666667,11.0010731663507,38.8550843204478,67.9524152481874,131.380918085146,"a"
"P","Preemergent","Post",102.333333333333,11.0010731663507,38.8550843204479,70.6190819148541,134.047584751813,"a"
"P","Soil Inversion","Post",104.5,11.0010731663507,38.8550843204482,72.7857485815208,136.214251418479,"a"
"P","Control","Post",104.666666666667,11.0010731663507,38.8550843204486,72.9524152481874,136.380918085146,"a"
"P","Preemergent","Pre",111.166666666667,11.0010731663507,38.8550843204481,79.4524152481875,142.880918085146,"a"
"P","Fill Sand","Post",114.333333333333,11.0010731663507,38.8550843204481,82.6190819148541,146.047584751813,"a"
"K","Soil Inversion","Pre",16,1.60394812031112,38.9743589743591,11.3768907404266,20.6231092595734,"a"
"K","Control","Pre",16.3333333333334,1.60394812031112,38.9743589743589,11.7102240737599,20.9564425929068,"a"
"K","Fill Sand","Pre",16.5,1.60394812031112,38.974358974359,11.8768907404266,21.1231092595734,"a"
"K","Soil Inversion","Post",16.5,1.60394812031112,38.9743589743588,11.8768907404266,21.1231092595734,"a"
"K","Preemergent","Pre",16.8333333333333,1.60394812031112,38.974358974359,12.2102240737599,21.4564425929067,"a"
"K","Preemergent","Post",18,1.60394812031112,38.974358974359,13.3768907404266,22.6231092595734,"a"
"K","Fill Sand","Post",18.1666666666667,1.60394812031112,38.9743589743589,13.5435574070933,22.7897759262401,"a"
"K","Control","Post",18.6666666666667,1.60394812031112,38.9743589743592,14.0435574070933,23.2897759262401,"a"
"Ca","Fill Sand","Post",502,40.1908517620467,35.875136445623,385.586901993292,618.413098006708,"a"
"Ca","Fill Sand","Pre",515.333333333333,40.1908517620467,35.875136445623,398.920235326625,631.746431340042,"a"
"Ca","Soil Inversion","Pre",555,40.1908517620467,35.875136445623,438.586901993292,671.413098006708,"a"
"Ca","Preemergent","Pre",574,40.1908517620467,35.875136445623,457.586901993292,690.413098006708,"a"
"Ca","Control","Pre",579.500000000001,40.1908517620467,35.8751364456221,463.086901993292,695.913098006709,"a"
"Ca","Control","Post",583.500000000001,40.1908517620467,35.8751364456233,467.086901993292,699.913098006709,"a"
"Ca","Soil Inversion","Post",599.5,40.1908517620467,35.875136445623,483.086901993292,715.913098006708,"a"
"Ca","Preemergent","Post",632.833333333333,40.1908517620467,35.875136445623,516.420235326625,749.246431340042,"a"
"Mg","Control","Post",56.8333333333333,6.62877112785737,38.3348645443833,37.7089399605371,75.9577267061295,"a"
"Mg","Preemergent","Pre",57.5,6.62877112785737,38.3348645443832,38.3756066272038,76.6243933727962,"a"
"Mg","Fill Sand","Post",58,6.62877112785737,38.3348645443833,38.8756066272038,77.1243933727962,"a"
"Mg","Soil Inversion","Pre",58.1666666666667,6.62877112785737,38.3348645443833,39.0422732938705,77.2910600394629,"a"
"Mg","Control","Pre",59.6666666666666,6.62877112785738,38.3348645443844,40.5422732938704,78.7910600394628,"a"
"Mg","Soil Inversion","Post",60.8333333333334,6.62877112785737,38.3348645443831,41.7089399605372,79.9577267061295,"a"
"Mg","Preemergent","Post",64.1666666666667,6.62877112785737,38.3348645443833,45.0422732938705,83.2910600394629,"a"
"Mg","Fill Sand","Pre",68,6.62877112785737,38.3348645443833,48.8756066272038,87.1243933727962,"a"
"S","Soil Inversion","Post",5.25,0.334737720877818,38.6554494246831,4.28472375014597,6.21527624985402,"a"
"S","Control","Post",5.26666666666667,0.334737720877818,38.6554494246836,4.30139041681264,6.23194291652069,"a"
"S","Soil Inversion","Pre",5.43333333333333,0.334737720877818,38.655449424683,4.46805708347931,6.39860958318736,"a"
"S","Preemergent","Post",5.56666666666667,0.334737720877818,38.6554494246831,4.60139041681264,6.53194291652069,"a"
"S","Fill Sand","Post",5.66666666666667,0.334737720877818,38.655449424683,4.70139041681264,6.63194291652069,"a"
"S","Control","Pre",5.73333333333334,0.334737720877817,38.6554494246821,4.76805708347931,6.69860958318736,"a"
"S","Fill Sand","Pre",6.1,0.334737720877818,38.655449424683,5.13472375014597,7.06527624985402,"a"
"S","Preemergent","Pre",6.45,0.334737720877818,38.655449424683,5.48472375014597,7.41527624985403,"a"
"Cu","Fill Sand","Pre",0.9,0.146651215120507,35.9275515317055,0.475261984128327,1.32473801587167,"a"
"Cu","Soil Inversion","Pre",1.01666666666667,0.146651215120507,35.9275515317056,0.591928650794993,1.44140468253834,"a"
"Cu","Control","Pre",1.05,0.146651215120507,35.9275515317059,0.625261984128327,1.47473801587167,"a"
"Cu","Fill Sand","Post",1.05,0.146651215120507,35.9275515317056,0.625261984128326,1.47473801587167,"a"
"Cu","Preemergent","Post",1.33333333333333,0.146651215120507,35.9275515317056,0.908595317461659,1.75807134920501,"a"
"Cu","Preemergent","Pre",1.35,0.146651215120507,35.9275515317056,0.925261984128326,1.77473801587167,"a"
"Cu","Soil Inversion","Post",1.35,0.146651215120507,35.9275515317056,0.925261984128326,1.77473801587167,"a"
"Cu","Control","Post",1.36666666666667,0.146651215120506,35.9275515317055,0.941928650794995,1.79140468253834,"a"
"Mn","Fill Sand","Post",6.31666666666667,0.843149856877391,38.5405332959831,3.88487831504468,8.74845501828865,"a"
"Mn","Soil Inversion","Pre",7.83333333333333,0.843149856877391,38.540533295983,5.40154498171135,10.2651216849553,"ab"
"Mn","Preemergent","Post",8.13333333333333,0.843149856877391,38.540533295983,5.70154498171135,10.5651216849553,"ab"
"Mn","Control","Post",8.16666666666667,0.843149856877391,38.540533295983,5.73487831504469,10.5984550182887,"ab"
"Mn","Soil Inversion","Post",8.81666666666667,0.843149856877391,38.5405332959831,6.38487831504468,11.2484550182887,"ab"
"Mn","Preemergent","Pre",9,0.843149856877391,38.540533295983,6.56821164837801,11.431788351622,"ab"
"Mn","Control","Pre",9.23333333333334,0.843149856877392,38.5405332959837,6.80154498171136,11.6651216849553,"ab"
"Mn","Fill Sand","Pre",10.55,0.843149856877391,38.540533295983,8.11821164837802,12.981788351622,"b"
"Zn","Fill Sand","Post",2.76666666666667,0.260642620789232,38.7201339004202,2.01512870411451,3.51820462921882,"a"
"Zn","Preemergent","Pre",2.88333333333333,0.260642620789232,38.7201339004202,2.13179537078118,3.63487129588548,"a"
"Zn","Fill Sand","Pre",3.21666666666667,0.260642620789232,38.7201339004202,2.46512870411451,3.96820462921882,"a"
"Zn","Control","Pre",3.28333333333333,0.260642620789232,38.7201339004206,2.53179537078118,4.03487129588548,"a"
"Zn","Soil Inversion","Post",3.4,0.260642620789232,38.7201339004201,2.64846203744785,4.15153796255215,"a"
"Zn","Soil Inversion","Pre",3.4,0.260642620789232,38.7201339004202,2.64846203744785,4.15153796255215,"a"
"Zn","Control","Post",3.6,0.260642620789232,38.7201339004201,2.84846203744784,4.35153796255215,"a"
"Zn","Preemergent","Post",3.65,0.260642620789232,38.7201339004201,2.89846203744785,4.40153796255215,"a"
