"Property","Treatment","Time","emmean","SE","df","lower.CL","upper.CL"
"pH","Control","Pre",6.61666666666669,0.0648249890264487,38.9743589743586,6.48554299183027,6.7477903415031
"pH","Fill Sand","Pre",6.6,0.0648249890264487,38.974358974359,6.46887632516358,6.73112367483642
"pH","Preemergent","Pre",6.55,0.0648249890264487,38.974358974359,6.41887632516358,6.68112367483641
"pH","Soil Inversion","Pre",6.61666666666667,0.0648249890264487,38.974358974359,6.48554299183025,6.74779034150308
"pH","Control","Post",6.65,0.0648249890264487,38.9743589743589,6.51887632516358,6.78112367483641
"pH","Fill Sand","Post",6.48333333333333,0.0648249890264487,38.9743589743589,6.35220965849692,6.61445700816975
"pH","Preemergent","Post",6.63333333333333,0.0648249890264487,38.974358974359,6.50220965849692,6.76445700816975
"pH","Soil Inversion","Post",6.68333333333333,0.0648249890264487,38.9743589743591,6.55220965849692,6.81445700816975
"P","Control","Pre",99.6666666666667,11.0010731663507,38.8550843204478,77.4122421049534,121.92109122838
"P","Fill Sand","Pre",95.8333333333333,11.0010731663507,38.8550843204481,73.5789087716201,118.087757895047
"P","Preemergent","Pre",111.166666666667,11.0010731663507,38.8550843204481,88.9122421049534,133.42109122838
"P","Soil Inversion","Pre",97.3333333333333,11.0010731663507,38.8550843204481,75.0789087716201,119.587757895047
"P","Control","Post",104.666666666667,11.0010731663507,38.8550843204486,82.4122421049534,126.92109122838
"P","Fill Sand","Post",114.333333333333,11.0010731663507,38.8550843204481,92.0789087716201,136.587757895047
"P","Preemergent","Post",102.333333333333,11.0010731663507,38.8550843204479,80.0789087716201,124.587757895047
"P","Soil Inversion","Post",104.5,11.0010731663507,38.8550843204482,82.2455754382868,126.754424561713
"K","Control","Pre",16.3333333333334,1.60394812031112,38.9743589743589,13.0889737901895,19.5776928764772
"K","Fill Sand","Pre",16.5,1.60394812031112,38.974358974359,13.2556404568561,19.7443595431439
"K","Preemergent","Pre",16.8333333333333,1.60394812031112,38.974358974359,13.5889737901895,20.0776928764772
"K","Soil Inversion","Pre",16,1.60394812031112,38.9743589743591,12.7556404568561,19.2443595431439
"K","Control","Post",18.6666666666667,1.60394812031112,38.9743589743592,15.4223071235228,21.9110262098105
"K","Fill Sand","Post",18.1666666666667,1.60394812031112,38.9743589743589,14.9223071235228,21.4110262098105
"K","Preemergent","Post",18,1.60394812031112,38.974358974359,14.7556404568561,21.2443595431439
"K","Soil Inversion","Post",16.5,1.60394812031112,38.9743589743588,13.2556404568561,19.7443595431439
"Ca","Control","Pre",579.500000000001,40.1908517620467,35.8751364456221,497.979322798199,661.020677201802
"Ca","Fill Sand","Pre",515.333333333333,40.1908517620467,35.875136445623,433.812656131532,596.854010535135
"Ca","Preemergent","Pre",574,40.1908517620467,35.875136445623,492.479322798199,655.520677201802
"Ca","Soil Inversion","Pre",555,40.1908517620467,35.875136445623,473.479322798199,636.520677201802
"Ca","Control","Post",583.500000000001,40.1908517620467,35.8751364456233,501.979322798199,665.020677201802
"Ca","Fill Sand","Post",502,40.1908517620467,35.875136445623,420.479322798199,583.520677201802
"Ca","Preemergent","Post",632.833333333333,40.1908517620467,35.875136445623,551.312656131532,714.354010535135
"Ca","Soil Inversion","Post",599.5,40.1908517620467,35.875136445623,517.979322798199,681.020677201802
"Mg","Control","Pre",59.6666666666666,6.62877112785738,38.3348645443844,46.2512694926043,73.0820638407289
"Mg","Fill Sand","Pre",68,6.62877112785737,38.3348645443833,54.5846028259377,81.4153971740624
"Mg","Preemergent","Pre",57.5,6.62877112785737,38.3348645443832,44.0846028259377,70.9153971740623
"Mg","Soil Inversion","Pre",58.1666666666667,6.62877112785737,38.3348645443833,44.7512694926043,71.582063840729
"Mg","Control","Post",56.8333333333333,6.62877112785737,38.3348645443833,43.417936159271,70.2487305073957
"Mg","Fill Sand","Post",58,6.62877112785737,38.3348645443833,44.5846028259377,71.4153971740624
"Mg","Preemergent","Post",64.1666666666667,6.62877112785737,38.3348645443833,50.7512694926043,77.582063840729
"Mg","Soil Inversion","Post",60.8333333333334,6.62877112785737,38.3348645443831,47.417936159271,74.2487305073957
"S","Control","Pre",5.73333333333334,0.334737720877817,38.6554494246821,5.05606937694052,6.41059728972615
"S","Fill Sand","Pre",6.1,0.334737720877818,38.655449424683,5.42273604360718,6.77726395639282
"S","Preemergent","Pre",6.45,0.334737720877818,38.655449424683,5.77273604360718,7.12726395639282
"S","Soil Inversion","Pre",5.43333333333333,0.334737720877818,38.655449424683,4.75606937694052,6.11059728972615
"S","Control","Post",5.26666666666667,0.334737720877818,38.6554494246836,4.58940271027385,5.94393062305948
"S","Fill Sand","Post",5.66666666666667,0.334737720877818,38.655449424683,4.98940271027385,6.34393062305948
"S","Preemergent","Post",5.56666666666667,0.334737720877818,38.6554494246831,4.88940271027385,6.24393062305948
"S","Soil Inversion","Post",5.25,0.334737720877818,38.6554494246831,4.57273604360718,5.92726395639282
"Cu","Control","Pre",1.05,0.146651215120507,35.9275515317059,0.752556723965744,1.34744327603426
"Cu","Fill Sand","Pre",0.9,0.146651215120507,35.9275515317055,0.602556723965744,1.19744327603426
"Cu","Preemergent","Pre",1.35,0.146651215120507,35.9275515317056,1.05255672396574,1.64744327603426
"Cu","Soil Inversion","Pre",1.01666666666667,0.146651215120507,35.9275515317056,0.719223390632411,1.31410994270092
"Cu","Control","Post",1.36666666666667,0.146651215120506,35.9275515317055,1.06922339063241,1.66410994270092
"Cu","Fill Sand","Post",1.05,0.146651215120507,35.9275515317056,0.752556723965744,1.34744327603426
"Cu","Preemergent","Post",1.33333333333333,0.146651215120507,35.9275515317056,1.03589005729908,1.63077660936759
"Cu","Soil Inversion","Post",1.35,0.146651215120507,35.9275515317056,1.05255672396574,1.64744327603426
"Mn","Control","Pre",9.23333333333334,0.843149856877392,38.5405332959837,7.52725148042531,10.9394151862414
"Mn","Fill Sand","Pre",10.55,0.843149856877391,38.540533295983,8.84391814709198,12.256081852908
"Mn","Preemergent","Pre",9,0.843149856877391,38.540533295983,7.29391814709197,10.706081852908
"Mn","Soil Inversion","Pre",7.83333333333333,0.843149856877391,38.540533295983,6.12725148042531,9.53941518624136
"Mn","Control","Post",8.16666666666667,0.843149856877391,38.540533295983,6.46058481375865,9.8727485195747
"Mn","Fill Sand","Post",6.31666666666667,0.843149856877391,38.5405332959831,4.61058481375864,8.02274851957469
"Mn","Preemergent","Post",8.13333333333333,0.843149856877391,38.540533295983,6.42725148042531,9.83941518624136
"Mn","Soil Inversion","Post",8.81666666666667,0.843149856877391,38.5405332959831,7.11058481375864,10.5227485195747
"Zn","Control","Pre",3.28333333333333,0.260642620789232,38.7201339004206,2.75601201002008,3.81065465664658
"Zn","Fill Sand","Pre",3.21666666666667,0.260642620789232,38.7201339004202,2.68934534335342,3.74398798997992
"Zn","Preemergent","Pre",2.88333333333333,0.260642620789232,38.7201339004202,2.35601201002008,3.41065465664658
"Zn","Soil Inversion","Pre",3.4,0.260642620789232,38.7201339004202,2.87267867668675,3.92732132331325
"Zn","Control","Post",3.6,0.260642620789232,38.7201339004201,3.07267867668675,4.12732132331325
