"Property","Effect","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"pH","Block",0.0533333333333235,0.0533333333333235,1,38.9999999997182,2.11525423728775,0.153839245916265
"pH","Treatment",0.0841666666666736,0.0280555555555579,3,38.9999999995632,1.11271186440687,0.355614491493375
"pH","Time",0.00333333333333106,0.00333333333333106,1,38.9999999992531,0.132203389830418,0.718121985895611
"pH","Treatment:Time",0.0749999999999982,0.0249999999999994,3,38.999999999253,0.99152542372879,0.406865975041132
"P","Block",4490.34347241849,4490.34347241849,1,18.9999958485725,6.41084567667597,0.0203209598627464
"P","Treatment",238.237931734117,79.4126439113723,3,18.999995848585,0.113377118703668,0.95119823652926
"P","Time",357.520833333333,357.520833333333,1,19.999994262279,0.510431084565146,0.483208481743712
"P","Treatment:Time",1132.39583333333,377.465277777778,3,19.9999942636505,0.538905689286531,0.661087114946106
"K","Block",5.33333333333326,5.33333333333326,1,38.9999999992872,0.345514950166108,0.560051474779515
"K","Treatment",12.4166666666667,4.13888888888892,3,38.9999999992872,0.268133997785162,0.847959199100453
"K","Time",24.0833333333331,24.0833333333331,1,38.9999999992873,1.56021594684384,0.219079000907202
"K","Treatment:Time",5.41666666666656,1.80555555555552,3,38.9999999992871,0.116971207087484,0.949617382654475
"Ca","Block",2449.74525381402,2449.74525381402,1,19.0000001127599,0.345965642793891,0.56333282016839
"Ca","Treatment",34825.0309855041,11608.3436618347,3,19.0000001123924,1.63939008371845,0.213701467713965
"Ca","Time",6626.99999999999,6626.99999999999,1,19.9999998348658,0.935899074087634,0.344888678972
"Ca","Treatment:Time",10279.1666666667,3426.38888888889,3,19.9999998368423,0.483892287396299,0.697227859965741
"Mg","Block",837.37088073793,837.37088073793,1,18.9999998827131,3.55288622574083,0.0748316589996286
"Mg","Treatment",120.076650456319,40.0255501521062,3,18.9999998819666,0.169824660833439,0.915432901401413
"Mg","Time",9.18749999999963,9.18749999999963,1,19.9999994813248,0.0389817020747448,0.845477702632512
"Mg","Treatment:Time",469.5625,156.520833333333,3,19.9999994799976,0.664103237386777,0.58382632633225
"S","Block",2.4427264562616,2.4427264562616,1,18.999998864854,3.90159943997896,0.0629496842520789
"S","Treatment",3.09479790623868,1.03159930207956,3,18.9999988647813,1.64770281541719,0.211887688085059
"S","Time",2.90083333333334,2.90083333333334,1,19.9999976700723,4.63330213655064,0.0437471199804335
"S","Treatment:Time",0.757499999999998,0.252499999999999,3,19.9999976668025,0.403300932885618,0.752201944683561
"Cu","Block",0.391849196340911,0.391849196340911,1,19.0000001274758,4.14107469739462,0.0560491934942878
"Cu","Treatment",0.478926795527775,0.159642265175925,3,19.0000001287494,1.68710450634594,0.20350757201039
"Cu","Time",0.460208333333335,0.460208333333335,1,19.9999998089906,4.86349621868002,0.0392989516979061
"Cu","Treatment:Time",0.242291666666667,0.0807638888888891,3,19.9999998112195,0.853515331571579,0.481135821611807
"Mn","Block",0.888322802274076,0.888322802274076,1,18.9999999520725,0.227238541676756,0.639015537435204
"Mn","Treatment",0.805499609044818,0.268499869681606,3,18.9999999489739,0.0686839498779664,0.975923519125374
"Mn","Time",20.1502083333333,20.1502083333333,1,19.9999998847899,5.15454961240176,0.0343915748377621
"Mn","Treatment:Time",42.180625,14.0602083333333,3,19.9999998870526,3.5966894344701,0.0315982514606095
"Zn","Block",2.23838241103038,2.23838241103038,1,18.9999979180312,5.8379890876492,0.0259163087004541
"Zn","Treatment",1.31861072940698,0.439536909802328,3,18.9999979161074,1.14636876630202,0.355908680188058
"Zn","Time",0.300833333333335,0.300833333333335,1,19.9999962200848,0.784612007558036,0.38626094623807
"Zn","Treatment:Time",2.37083333333334,0.790277777777779,3,19.9999962144697,2.06114604016861,0.137634873910079
"B","Block",0.000208333312972389,0.000208333312972389,1,38.9841944114298,0.999999949880751,0.32347744016107
"B","Treatment",0.000624999938917167,0.000208333312972389,3,38.9842101441891,0.99999994988075,0.403078348803692
"B","Time",0.000208333333333333,0.000208333333333333,1,38.9857305354432,1.00000004761329,0.323477175403974
"B","Treatment:Time",0.000625,0.000208333333333333,3,38.9857313325968,1.00000004761329,0.40307787370497
