"Property","contrast","estimate","SE","df","t.ratio","p.value"
"pH","Control Pre - Fill Sand Pre",0.0166666666666876,0.0916763786618909,38.9743589743587,0.181798920397537,0.999999593387958
"pH","Control Pre - Preemergent Pre",0.0666666666666883,0.0916763786618909,38.9743589743587,0.727195681589473,0.995590670483683
"pH","Control Pre - Soil Inversion Pre",2.12912614700355e-14,0.0916763786618909,38.9743589743587,2.32243700948957e-13,1
"pH","Control Pre - Control Post",-0.0333333333333113,0.0916763786618909,20,-0.363597840794378,0.99994333141527
"pH","Control Pre - Fill Sand Post",0.133333333333355,0.0916763786618909,38.9743589743587,1.45439136317871,0.825954338247879
"pH","Control Pre - Preemergent Post",-0.016666666666645,0.0916763786618909,38.9743589743587,-0.181798920397073,0.999999593387958
"pH","Control Pre - Soil Inversion Post",-0.0666666666666452,0.0916763786618909,38.9743589743587,-0.727195681589002,0.995590670483701
"pH","Fill Sand Pre - Preemergent Pre",0.0500000000000007,0.0916763786618908,38.974358974359,0.545396761191935,0.99928852850565
"pH","Fill Sand Pre - Soil Inversion Pre",-0.0166666666666663,0.0916763786618908,38.974358974359,-0.181798920397305,0.999999593387958
"pH","Fill Sand Pre - Control Post",-0.0499999999999989,0.0916763786618909,38.9743589743589,-0.545396761191915,0.99928852850565
"pH","Fill Sand Pre - Fill Sand Post",0.116666666666667,0.0916763786618909,20,1.27259244278117,0.898565974115386
"pH","Fill Sand Pre - Preemergent Post",-0.0333333333333326,0.0916763786618908,38.974358974359,-0.363597840794611,0.999952168807523
"pH","Fill Sand Pre - Soil Inversion Post",-0.0833333333333327,0.0916763786618908,38.974358974359,-0.908994601986539,0.983403981718095
"pH","Preemergent Pre - Soil Inversion Pre",-0.066666666666667,0.0916763786618908,38.974358974359,-0.727195681589241,0.995590670483692
"pH","Preemergent Pre - Control Post",-0.0999999999999996,0.0916763786618909,38.9743589743589,-1.09079352238385,0.954993820990118
"pH","Preemergent Pre - Fill Sand Post",0.0666666666666664,0.0916763786618909,38.9743589743589,0.727195681589234,0.995590670483692
"pH","Preemergent Pre - Preemergent Post",-0.0833333333333333,0.0916763786618909,20,-0.908994601986546,0.981626980109758
"pH","Preemergent Pre - Soil Inversion Post",-0.133333333333333,0.0916763786618908,38.974358974359,-1.45439136317848,0.825954338247993
"pH","Soil Inversion Pre - Control Post",-0.0333333333333326,0.0916763786618909,38.974358974359,-0.36359784079461,0.999952168807523
"pH","Soil Inversion Pre - Fill Sand Post",0.133333333333333,0.0916763786618909,38.9743589743589,1.45439136317847,0.825954338247993
"pH","Soil Inversion Pre - Preemergent Post",-0.0166666666666663,0.0916763786618909,38.974358974359,-0.181798920397305,0.999999593387958
"pH","Soil Inversion Pre - Soil Inversion Post",-0.0666666666666665,0.0916763786618909,20,-0.727195681589234,0.994989213637544
"pH","Control Post - Fill Sand Post",0.166666666666666,0.0916763786618909,38.974358974359,1.81798920397308,0.612195610033193
"pH","Control Post - Preemergent Post",0.0166666666666663,0.0916763786618909,38.974358974359,0.181798920397305,0.999999593387958
"pH","Control Post - Soil Inversion Post",-0.0333333333333338,0.0916763786618909,38.974358974359,-0.363597840794624,0.999952168807523
"pH","Fill Sand Post - Preemergent Post",-0.15,0.0916763786618909,38.9743589743589,-1.63619028357578,0.726068604686511
"pH","Fill Sand Post - Soil Inversion Post",-0.2,0.0916763786618909,38.974358974359,-2.18158704476771,0.384406744550422
"pH","Preemergent Post - Soil Inversion Post",-0.0500000000000001,0.0916763786618908,38.974358974359,-0.545396761191929,0.99928852850565
"P","Control Pre - Fill Sand Pre",3.83333333333331,15.5578668725119,38.855084320448,0.246391961362401,0.999996662559698
"P","Control Pre - Preemergent Pre",-11.5,15.5578668725119,38.855084320448,-0.739175884087207,0.995123918964874
"P","Control Pre - Soil Inversion Pre",2.33333333333331,15.5578668725119,38.8550843204479,0.149977715611895,0.999999893235515
