"Species","Control","Fill Sand","Preemergent","Soil Inversion","Max_Class","Indicator_Class","P_Value","Rank"
"Bare Ground",0.175905644481887,0.314237573715249,0.292670598146588,0.217186183656276,2,0.314237573715249,0.001,1
"Cyperus spp.",0.00959422774682098,0.0822760394342049,0.0205386483783398,0.767252464637805,4,0.767252464637805,0.001,2
"Erigeron canadensis",0.134661354581673,0.0627362345489835,0.407886403105527,0.145839718050873,3,0.407886403105527,0.001,3
"Gamochaeta spp.",0.189983534577387,3.65898280278083e-05,0.356759970728138,0.180936699597512,3,0.356759970728138,0.001,4
"Lactuca spp.",0.320648759032359,0.00125667609173735,0.0197926484448633,0.000117813383600377,1,0.320648759032359,0.001,5
"Lepidium virginicum",0.00138653084323712,0.00466893039049236,0.429541595925297,0.0362478777589134,3,0.429541595925297,0.001,6
"Linaria canadensis",0.023673792557403,0.0420625494853524,0,0.517992874109264,4,0.517992874109264,0.001,7
"Oenothera laciniata",0.484235871342904,0.0399872796656369,0.00388394209219214,0.352707614028712,1,0.484235871342904,0.001,8
"Paspalum notatum",0.316585888187556,0.424932371505861,0.0444995491433724,0.0470374962428614,2,0.424932371505861,0.001,9
"Portulaca spp.",0,0,0,0.166666666666667,4,0.166666666666667,0.001,10
"Richardia spp.",0.146082013804304,0.12766443361754,0.0508458519420761,0.529481323589119,4,0.529481323589119,0.001,11
"Cynodon dactylon",0.0657597695780788,0.174949400591624,0.337085474077534,0.0563327105713841,3,0.337085474077534,0.003,12
"Oxalis corniculata",0.107936507936508,0.019047619047619,0,0,1,0.107936507936508,0.004,13
"Rumex hastatulus",0.0482124079915878,0.00492902208201893,0.141692954784437,0.0131309148264984,3,0.141692954784437,0.032,14
"Sinapis arvensis",0.00174129353233831,0,0,0.0597014925373134,4,0.0597014925373134,0.045,15
