"Species","Control","Fill Sand","Preemergent","Soil Inversion","Max_Class","Indicator_Class","P_Value","Rank"
"Bare Ground",0.237290289781393,0.287874936451449,0.280503304524657,0.194331469242501,2,0.287874936451449,0.001,1
"Cyperus spp.",0.0337628865979381,0.0949312714776632,0.000245459008345606,0.733431516936672,4,0.733431516936672,0.001,2
"Erigeron canadensis",0.286014211886305,0.053391472868217,0.00930232558139535,0.0452196382428941,1,0.286014211886305,0.001,3
"Gamochaeta spp.",0.423552923047289,0.000385245112202639,0.000963112780506597,0.379466435519599,1,0.423552923047289,0.001,4
"Linaria canadensis",0.00972966934763181,0,0,0.429792225201072,4,0.429792225201072,0.001,5
"Oenothera laciniata",0.438210816008488,0.00742730196624557,0.00430882986836434,0.406180576279054,1,0.438210816008488,0.001,6
"Paspalum notatum",0.357906712172924,0.319387561623056,0.0910125142207053,0.016031475161168,1,0.357906712172924,0.001,7
"Portulaca spp.",0,0,0,0.25,4,0.25,0.001,8
"Richardia spp.",0.0928469148659203,0.0458365876941769,0.00366874945760652,0.77711750412219,4,0.77711750412219,0.001,9
"Triodanis perfoliata",0.0509675660943036,0.0676614881439084,0.00348868901608068,0.244480784955029,4,0.244480784955029,0.003,10
"Oxalis corniculata",0.118518518518519,0.0111111111111111,0,0,1,0.118518518518519,0.009,11
"Sinapis arvensis",0.00201149425287356,0,0,0.0732758620689655,4,0.0732758620689655,0.012,12
